Date,Branch_Code,lot_code,net_qty
31-03-2020,5013,4499295,6
15-06-2020,5013,4499295,-2
29-10-2020,5013,4743770,24
29-10-2020,5013,4743771,18
29-10-2020,5013,4743769,24
29-10-2020,5013,4743772,24
29-10-2020,5013,4743773,24
30-10-2020,5013,4743773,-10
30-10-2020,5013,4743771,-18
02-11-2020,5013,4743773,-6
07-11-2020,5013,4743773,-6
08-11-2020,5013,4743769,-3
11-11-2020,5013,4743773,-2
11-11-2020,5013,4743773,18
11-12-2020,5013,4743772,-4
11-12-2020,5013,4743770,-6
13-11-2020,5013,4743769,-2
14-11-2020,5013,4743772,-2
15-11-2020,5013,4743772,-1
19-11-2020,5013,4743773,-6
22-11-2020,5013,4743769,-4
26-11-2020,5013,4743773,-6
29-11-2020,5013,4743769,-2
01-12-2020,5013,4499295,-1
02-12-2020,5013,4743769,-12
07-12-2020,5013,4743772,-4
08-12-2020,5013,4804612,24
13-12-2020,5013,4743772,-4
17-12-2020,5013,4743773,-6
17-12-2020,5013,4804612,-2
20-12-2020,5013,4743772,-2
23-12-2020,5013,4826751,18
25-12-2020,5013,4804612,-6
26-12-2020,5013,4804612,-6
26-12-2020,5013,4826751,-6
26-12-2020,5013,4743772,-1
31-12-2020,5013,4743769,-1
31-12-2020,5013,4826751,-2
05-01-2021,5013,4854771,12
05-01-2021,5013,4854774,18
07-01-2021,5013,4743772,-2
16-01-2021,5013,4743770,-2
20-01-2021,5013,4804612,-4
